rank,prev_rank,name,league,off,def,spi
32,34,FC Porto,Portuguese Liga,1.97,0.67,74.83
33,40,AC Milan,Italy Serie A,2.0,0.71,74.38
34,30,AS Roma,Italy Serie A,2.13,0.82,74.15
35,52,TSG Hoffenheim,German Bundesliga,2.33,0.96,74.11
36,41,Villarreal,Spanish Primera Division,2.1,0.81,73.75
37,33,Flamengo,Brasileiro Série A,2.15,0.85,73.73
38,35,Lyon,French Ligue 1,1.8,0.61,73.46
39,42,Celta Vigo,Spanish Primera Division,1.83,0.64,73.32
40,39,Real Betis,Spanish Primera Division,2.01,0.8,72.42
41,38,Eintracht Frankfurt,German Bundesliga,2.17,0.94,71.93
42,49,Brighton and Hove Albion,Barclays Premier League,1.83,0.71,71.45
43,37,Benfica,Portuguese Liga,2.08,0.9,71.35
44,44,Athletic Bilbao,Spanish Primera Division,1.78,0.69,71.2
45,53,Southampton,Barclays Premier League,1.95,0.82,70.96
46,48,Shakhtar Donetsk,UEFA Europa League,2.19,1.01,70.91
47,36,Watford,Barclays Premier League,1.88,0.77,70.91
48,54,Eibar,Spanish Primera Division,1.78,0.7,70.88
49,50,Lille,French Ligue 1,1.75,0.68,70.78
50,51,Celtic,Scottish Premiership,2.22,1.03,70.69
51,47,Burnley,Barclays Premier League,1.79,0.72,70.59
52,56,Leganes,Spanish Primera Division,1.64,0.61,70.4
53,43,Granada,Spanish Primera Division,1.7,0.66,70.23
54,55,Osasuna,Spanish Primera Division,1.87,0.81,69.73
55,45,Crystal Palace,Barclays Premier League,1.72,0.7,69.7
56,46,Sheffield United,Barclays Premier League,1.66,0.68,69.19
57,60,Leeds United,English League Championship,1.79,0.8,68.68
58,58,Club Brugge,Belgian Jupiler League,1.84,0.84,68.44
59,57,Espanyol,Spanish Primera Division,1.77,0.79,68.34
60,63,Palmeiras,Brasileiro Série A,1.79,0.83,67.88
61,64,AS Monaco,French Ligue 1,1.96,0.97,67.69
62,62,Fiorentina,Italy Serie A,1.77,0.83,67.37
63,66,Marseille,French Ligue 1,1.71,0.8,67.12
64,67,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
65,61,Valencia,Spanish Primera Division,1.86,0.92,66.97
66,68,FC Krasnodar,Russian Premier Liga,1.72,0.81,66.94
67,69,AZ,Dutch Eredivisie,1.9,0.95,66.93
68,65,Hertha Berlin,German Bundesliga,1.91,0.96,66.92
69,71,Brentford,English League Championship,1.72,0.82,66.73
70,70,Stade Rennes,French Ligue 1,1.6,0.73,66.62
71,74,Basel,Swiss Raiffeisen Super League,1.98,1.03,66.5
72,73,LASK Linz,Austrian T-Mobile Bundesliga,1.98,1.03,66.47
73,72,West Ham United,Barclays Premier League,1.86,0.97,65.78
74,75,Grêmio,Brasileiro Série A,1.79,0.92,65.63
75,79,Levante,Spanish Primera Division,1.89,1.0,65.54
76,76,River Plate,Argentina Primera Division,1.74,0.88,65.48
77,77,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
78,82,SC Freiburg,German Bundesliga,1.96,1.07,65.43
79,97,Werder Bremen,German Bundesliga,1.82,0.98,64.98
80,78,Mainz,German Bundesliga,1.91,1.05,64.9
81,80,PSV,Dutch Eredivisie,1.87,1.04,64.48
82,59,FC Cologne,German Bundesliga,1.95,1.1,64.37
83,88,PAOK Salonika,Greek Super League,1.7,0.9,64.31
84,84,Bologna,Italy Serie A,1.8,0.99,64.09
85,91,Sassuolo,Italy Serie A,1.97,1.13,64.0
86,83,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.72,0.93,63.88
87,85,Alavés,Spanish Primera Division,1.63,0.87,63.67
88,81,Newcastle,Barclays Premier League,1.64,0.87,63.67
89,89,AFC Bournemouth,Barclays Premier League,1.77,0.99,63.65
90,90,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
91,95,Sporting CP,Portuguese Liga,1.62,0.9,62.71
92,93,Braga,Portuguese Liga,1.78,1.04,62.7
93,92,Strasbourg,French Ligue 1,1.57,0.86,62.68
94,104,Young Boys,Swiss Raiffeisen Super League,2.08,1.29,62.58
95,94,1. FC Union Berlin,German Bundesliga,1.7,0.97,62.53
96,96,Real Valladolid,Spanish Primera Division,1.52,0.82,62.39
97,110,Aston Villa,Barclays Premier League,1.8,1.07,62.3
98,86,Trabzonspor,Turkish Turkcell Super Lig,1.95,1.19,62.26
99,87,Verona,Italy Serie A,1.66,0.95,62.07
100,112,Lokomotiv Moscow,Russian Premier Liga,1.63,0.94,61.98
101,98,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
102,99,Bordeaux,French Ligue 1,1.5,0.84,61.76
103,111,FC Midtjylland,Danish SAS-Ligaen,1.66,0.98,61.61
104,102,Montpellier,French Ligue 1,1.56,0.89,61.55
105,103,Angers,French Ligue 1,1.4,0.76,61.51
106,100,FC Augsburg,German Bundesliga,1.7,1.02,61.4
107,106,Galatasaray,Turkish Turkcell Super Lig,1.75,1.07,61.38
108,105,Guimaraes,Portuguese Liga,1.63,0.96,61.28
109,108,Santos,Brasileiro Série A,1.58,0.93,61.02
110,109,Nantes,French Ligue 1,1.5,0.86,60.98
111,101,Sampdoria,Italy Serie A,1.72,1.07,60.73
112,113,Mallorca,Spanish Primera Division,1.68,1.05,60.36
113,114,Reims,French Ligue 1,1.36,0.77,60.28
114,115,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
115,120,Norwich City,Barclays Premier League,1.6,0.99,59.93
